From	Entry
D2ZZC1	D2ZZC1
A4TVL0	A4TVL0
Q7YTF7	Q7YTF7
W9BNU9	W9BNU9
A0A0H2UPT5	A0A0H2UPT5
P42684	P42684
O76290	O76290
P12004	P12004
O88587	O88587
Q6L5H6	Q6L5H6
Q8DQ18	Q8DQ18
Q6GG09	Q6GG09
Q0ZPV7	Q0ZPV7
Q4DRC4	Q4DRC4
C1KIK8	C1KIK8
Q8IEK1	Q8IEK1
P61277	P61277
P06858	P06858
P0A6D3	P0A6D3
P0DPI1	P0DPI1
Q8TEK3	Q8TEK3
P06710	P06710
P56463	P56463
O75311	O75311
P16932	P16932
P95468	P95468
A0A0H3JP37	A0A0H3JP37
Q59H18	Q59H18
Q4DA73	Q4DA73
O32462	O32462
Q9PTN2	Q9PTN2
Q9Y5A9	Q9Y5A9
P32890	P32890
A0A6L8P2U9	A0A6L8P2U9
P59071	P59071
C6XGT2	C6XGT2
P34884	P34884
S5LVN3	S5LVN3
Q9GPG0	Q9GPG0
Q9HXQ1	Q9HXQ1
Q7Z8V1	Q7Z8V1
Q05320	Q05320
P03367	P03367
P07333	P07333
P13922	P13922
B8XX90	B8XX90
Q91977	A0A1L8F5J9
P04117	P04117
P0A725	P0A725
P42676	P42676
Q9NQR1	Q9NQR1
P27540	P27540
Q9UNA0	Q9UNA0
Q57991	Q57991
P0A3R9	P0A3R9
P0ABF6	P0ABF6
Q2N379	Q2N379
P47870	P47870
Q6N8W4	Q6N8W4
C5GC63	C5GC63
Q2G0Q5	Q2G0Q5
P06169	P06169
Q9S7S8	Q9S7S8
P23874	P23874
O54050	O54050
Q194T1	Q194T1
P46598	P46598
A5J299	A5J299
Q8NFU5	Q8NFU5
O36607	O36607
O66465	O66465
Q9ULX7	Q9ULX7
A0A024V0B1	A0A024V0B1
Q16637	Q16637
Q15418	Q15418
E4KPW4	E4KPW4
Q92UV8	Q92UV8
P09838	P09838
P52679	P52679
Q9K2N0	Q9K2N0
P52286	P52286
A0A0J9X1Z6	A0A0J9X1Z6
P00381	P00381
P20138	P20138
Q6DPL2	Q6DPL2
P31550	P31550
Q9K578	Q9K578
O53649	O53649
P20701	P20701
P62623	P62623
F8UU09	F8UU09
P54578	P54578
P29029	P29029
P01837	P01837
H8XX12	H8XX12
P00374	P00374
A5W4E3	A5W4E3
P29473	P29473
P02925	P02925
Q9NRD5	Q9NRD5
P06820	P06820
Q9H9B1	Q9H9B1
A8GFD6	A8GFD6
Q9BVA6	Q9BVA6
P29498	P29498
O15648	O15648
A0A0M3KL20	A0A0M3KL20
G0YP42	G0YP42
Q9BX68	Q9BX68
P42620	P42620
Q9EQY0	Q9EQY0
O24891	O24891
P54762	P54762
O92139	O92139
P32248	P32248
Q9A4Z9	Q9A4Z9
Q99538	Q99538
A0A0J9X1Z9	A0A0J9X1Z9
P49610	P49610
P11609	P11609
Q62230	Q62230
Q9KDT3	Q9KDT3
B4EB35	B4EB35
P00778	P00778
P0A3F4	P0A3F4
O38719	O38719
Q9JPG4	Q9JPG4
P21860	P21860
C7C422	C7C422
Q9QUG2	Q9QUG2
Q46342	Q46342
I7BFC3	I7BFC3
Q06124	Q06124
P52756	P52756
P45352	P45352
Q96DH3	P30153
Q15047	Q15047
Q9LT15	Q9LT15
Q7B8V4	Q7B8V4
P42264	P42264
P0A434	P0A434
P00950	P00950
Q5EGY4	Q5EGY4
P09598	P09598
Q9X1X7	Q9X1X7
P27001	P27001
P47709	P47709
P07814	P07814
Q836J0	Q836J0
Q786F3	Q786F3
P0AEY8	P0AEY8
Q96LI5	Q96LI5
Q79MP6	Q79MP6
Q8N371	Q8N371
Q5ZTK6	Q5ZTK6
Q09472	Q09472
P39265	P39265
Q9HWY4	Q9HWY4
P44539	P44539
P0AG18	P0AG18
A4GRE3	A4GRE3
G3XCV0	G3XCV0
P25787	P25787
Q1D4I5	Q1D4I5
P25098	P25098
Q9HYR3	Q9HYR3
Q9WFL7	Q9WFL7
P19080	P19080
Q9U9J6	Q9U9J6
A9YN63	A9YN63
P0DMV8	P0DMV8
Q0QF01	Q0QF01
A2RP81	A2RP81
P05373	P05373
P0A6R0	P0A6R0
Q86PD7	Q86PD7
C9Z6T8	C9Z6T8
P41594	P41594
P31992	P31992
Q9FD71	Q9FD71
P78540	P78540
D5KM69	D5KM69
P08169	P08169
O14842	O14842
Q63T71	Q63T71
P24740	P24740
W4I9J7	W4I9J7
O35543	O35543
Q584S0	Q584S0
Q02054	Q02054
P07740	P07740
P03474	P03474
Q2PS28	Q2PS28
Q7SIG4	Q7SIG4
P56470	P56470
Q9NZH8	Q9NZH8
Q9L5C7	Q9L5C7
P13491	P13491
A5K4U6	A5K4U6
P00924	P00924
Q9KWU8	Q9KWU8
P80192	P80192
E7E815	E7E815
Q8ZKB0	Q8ZKB0
P62965	P62965
A2SZS3	A2SZS3
P17612	P17612
Q8T6T2	Q8T6T2
Q9A0M7	Q9A0M7
V9TU12	V9TU12
P0AE78	P0AE78
Q7SSE3	Q7SSE3
O25928	O25928
B0L7B0	B0L7B0
P54922	P54922
P00698	P00698
Q869C3	Q869C3
B4RNT1	B4RNT1
P45452	P45452
Q00955	Q00955
Q9ZPL5	Q9ZPL5
Q41009	Q41009
Q93IC2	Q93IC2
P61006	P61006
P19623	P19623
Q9UKF6	Q9UKF6
P19440	P19440
Q2LG68	Q2LG68
Q9AIU7	Q9AIU7
P15494	P15494
Q9UBK2	Q9UBK2
P03366	P03366
P07379	P07379
Q8T9Z7	Q8T9Z7
P35558	P35558
Q64610	Q64610
P27986	P27986
Q9K5F2	Q9K5F2
P60061	P60061
A0A0M3KL26	A0A0M3KL26
Q09HD0	Q09HD0
Q9KKP2	Q9KKP2
Q7ZCI0	Q7ZCI0
Q8IIR9	Q8IIR9
P05771	P05771
Q7K4Y6	Q7K4Y6
Q92SH9	Q92SH9
P45446	P45446
P26276	P26276
Q460N3	Q460N3
P0C6F2	P0C6F2
Q92731	Q92731
Q13946	Q13946
Q99685	Q99685
Q06121	Q06121
P19971	P19971
P61157	P61157
B4EKM5	B4EKM5
A3UNN4	A3UNN4
Q9NSY1	Q9NSY1
Q381A3	Q381A3
O32253	O32253
Q96CA5	Q96CA5
Q9Y5N5	Q9Y5N5
H3BCW1	H3BCW1
P06328	P06328
P9WNP5	P9WNP5
P33590	P33590
Q15KI8	Q15KI8
P14751	P14751
P32019	P32019
P49862	P49862
Q03555	Q03555
Q9X0C6	Q9X0C6
Q99497	Q99497
P0ABP8	P0ABP8
P97612	P97612
O75116	O75116
P08559	P08559
E0SJQ4	E0SJQ4
C8BD48	C8BD48
P00735	P00735
O26232	O26232
P20371	P20371
Q77VV3	Q77VV3
P07822	P07822
Q9KAX3	Q9KAX3
P31751	P31751
P01868	P01868
P63096	P63096
P51686	P51686
P60174	P60174
G3XD46	G3XD46
P07678	P07678
O75164	O75164
P62593	P62593
P50921	P50921
Q9I0I4	Q9I0I4
P48729	P48729
P29295	P29295
P22073	P22073
P36897	P36897
P15531	P15531
Q14680	Q14680
Q9RVD6	Q9RVD6
P56067	P56067
P24723	P24723
Q7SID2	Q7SID2
P93343	P93343
P9WIJ3	P9WIJ3
P05543	P05543
O95453	O95453
P21642	P21642
Q9L5C8	Q9L5C8
Q9UUB1	Q9UUB1
Q16875	Q16875
P02649	P02649
P15309	P15309
Q84MC7	Q84MC7
Q8NR95	Q8NR95
G7J032	G7J032
Q6LX42	Q6LX42
P23946	P23946
Q15661	Q15661
P0C6X7	P0C6X7
W8UNW6	W8UNW6
Q98GN8	Q98GN8
P10969	P10969
P30626	P30626
P56373	P56373
Q9HZZ1	Q9HZZ1
P09152	P09152
B1MDI3	B1MDI3
Q903J0	Q903J0
P03962	P03962
Q393A1	Q393A1
Q9TZZ6	Q9TZZ6
P42574	P42574
P63820	P63820
P63043	P63043
P0ABQ4	P0ABQ4
O43781	O43781
P17870	P17870
P04191	P04191
P14900	P14900
U5Q3T2	U5Q3T2
P32324	P32324
P00517	P00517
Q3ZC95	Q3ZC95
Q9X0V0	Q9X0V0
Q91MA7	Q91MA7
O32243	O32243
P19493	P19493
P83852	P83852
Q43295	Q43295
P32120	P32120
P51812	P51812
P31723	P31723
Q52L64	Q52L64
P32589	P32589
P12694	P12694
Q07806	Q07806
B6AA20	B6AA20
Q9Y259	Q9Y259
O25743	O25743
P02920	P02920
Q10471	Q10471
P21631	P21631
P62575	P62575
Q07785	Q07785
Q9Y3Q4	Q9Y3Q4
A0A0H2UNK6	A0A0H2UNK6
Q6ND88	Q6ND88
Q13126	Q13126
Q9KNC3	Q9KNC3
P14350	P14350
O66809	O66809
O74718	O74718
Q99873	Q99873
B9KDD4	B9KDD4
P27115	P27115
P07267	P07267
P22983	P22983
Q8N5Z0	Q8N5Z0
P10688	P10688
P66937	P66937
P04036	P04036
Q0TR53	Q0TR53
Q8TDX5	Q8TDX5
Q9KPL5	Q9KPL5
Q9Y657	Q9Y657
P03147	P03147
Q24973	Q24973
O14786	O14786
P31663	P31663
Q04609	Q04609
P10253	P10253
Q93009	Q93009
P20035	P20035
P77348	P77348
Q47765	Q47765
P31645	P31645
P42892	P42892
Q5SHN5	Q5SHN5
P41007	P41007
Q16873	Q16873
Q06GJ0	Q06GJ0
Q9HU22	Q9HU22
P08246	P08246
P06213	P06213
Q9RBQ1	Q9RBQ1
Q80Z29	Q80Z29
O08498	O08498
P60568	P60568
Q4MV79	Q4MV79
Q6WVP6	Q6WVP6
P06280	P06280
A7YT55	A7YT55
P83512	P83512
Q980A5	Q980A5
P37821	P37821
P00746	P00746
P02928	P0AEX9
P03305	P03305
Q9HV14	Q9HV14
P47205	P47205
P22887	P22887
P33981	P33981
P09616	P09616
P0ADF8	P0ADF8
A0QV09	A0QV09
Q00987	Q00987
P05804	P05804
P36370	P36370
Q04760	Q04760
Q89FH0	Q89FH0
Q460N5	Q460N5
A2IC68	A2IC68
Q8A0Q6	Q8A0Q6
P41222	P41222
P10943	P10943
P0C1S8	P0C1S8
Q51792	Q51792
P0AB91	P0AB91
P05020	P05020
P23905	P23905
P83410	P83410
P53350	P53350
Q9VIH7	Q9VIH7
P23639	P23639
P08819	P08819
A8W790	A8W790
P21524	P21524
Q5PPM0	Q5PPM0
P23471	P23471
P25910	P25910
A4YGX6	A4YGX6
P12499	P12499
A0A0H2YU91	A0A0H2YU91
Q9WVG6	Q9WVG6
P08922	P08922
Q9UIF9	Q9UIF9
G5ELM3	G5ELM3
Q9BRQ0	Q9BRQ0
B2RID1	B2RID1
Q7ZCR0	Q7ZCR0
A6QHR2	A6QHR2
Q6G7I0	Q6G7I0
P20292	P20292
P51531	P51531
Q8A5N9	Q8A5N9
P35790	P35790
Q8I6V3	Q8I6V3
O43175	O43175
Q16654	Q16654
P02743	P02743
O34911	O34911
P18902	P18902
P00349	P00349
P61823	P61823
Q39761	Q39761
P36888	P36888
P47228	P47228
C1F2K5	C1F2K5
P39748	P39748
P0AEU0	P0AEU0
A5YVK8	A5YVK8
A0A0H3JXR3	A0A0H3JXR3
P0A6X3	P0A6X3
Q9K169	Q9K169
A5F5R2	A5F5R2
A9SS48	A9SS48
B7QK46	B7QK46
Q965D7	Q965D7
Q5RZ08	Q5RZ08
Q8QN58	Q8QN58
Q9NRF8	Q9NRF8
P32396	P32396
P39325	P39325
P00720	P00720
Q9X6J6	Q9X6J6
Q9SKE2	Q9SKE2
P0AES2	P0AES2
P39900	P39900
Q9R0G6	Q9R0G6
Q7B8P6	Q7B8P6
P03195	P03195
P43889	P43889
Q8TCU6	Q8TCU6
D3Z7P3	D3Z7P3
P22505	P22505
A0A0R4I985	A0A0R4I985
P56839	P56839
P23254	P23254
P9WN93	P9WN93
Q4WAW9	Q4WAW9
Q80J95	Q80J95
P0A7Z0	P0A7Z0
Q6B6C5	Q6B6C5
A0A078SUX9	A0A078SUX9
P14735	P14735
Q5V8X3	Q5V8X3
P56218	P56218
O15075	O15075
P19492	P19492
P18429	P18429
P02647	P02647
Q8J0K6	Q8J0K6
P78536	P78536
G1KPH4	G1KPH4
Q9WY43	Q9WY43
P11439	P11439
Q45075	Q45075
P22734	P22734
Q6Q004	Q6Q004
Q6N446	Q6N446
Q2YIM3	Q2YIM3
P20906	P20906
Q643C8	Q643C8
Q9WXQ8	Q9WXQ8
P52789	P52789
A9XG43	A9XG43
Q834R3	Q834R3
Q837S0	Q837S0
Q70I53	Q70I53
P24941	P24941
Q5M586	Q5M586
P51141	P51141
Q91H74	Q91H74
P04584	P04584
P00942	P00942
P01865	P01865
Q9BXF3	Q9BXF3
P53131	P53131
P23687	P23687
P01112	P01112
Q6DN90	Q6DN90
Q9RHZ6	Q9RHZ6
Q08499	Q08499
P27907	P27907
Q16539	Q16539
Q9DBB5	Q9DBB5
P63000	P63000
Q9BU02	Q9BU02
P06782	P06782
O43570	O43570
Q96T88	Q96T88
B6HWK0	B6HWK0
Q13164	Q13164
P37173	P37173
P13482	P13482
O94760	O94760
P40506	P40506
P02701	P02701
P0AFK9	P0AFK9
P50053	P50053
A1WUH0	A1WUH0
P62157	P62157
G4FEC0	G4FEC0
P31749	P31749
P40261	P40261
P11309	P11309
Q9ZLT0	Q9ZLT0
P49759	P49759
P08179	P08179
C5Z4W3	C5Z4W3
C3T3U2	C3T3U2
P10724	P10724
O40922	O40922
P13689	P13689
O43809	O43809
Q5SKC5	Q5SKC5
Q8KKW2	Q8KKW2
P23360	P23360
P22748	P22748
Q7LHI2	Q7LHI2
Q4DSV5	Q4DSV5
P02768	P02768
P03314	P03314
Q4J894	Q4J894
P27338	P27338
O95251	O95251
Q00610	Q00610
P45568	P45568
A0A0M3KL09	A0A0M3KL09
P02879	P02879
Q6T755	Q6T755
A0A0J9WZA6	A0A0J9WZA6
P04951	P04951
Q939R9	Q939R9
O95819	O95819
O95372	O95372
Q9BZP6	Q9BZP6
P50440	P50440
Q9QLL6	Q9QLL6
O35310	O35310
P03368	P03366
Q57ZL6	Q57ZL6
P9WHK9	P9WHK9
Q60164	Q2RSB2
Q07412	Q07412
P13631	P13631
Q5SIJ0	Q5SIJ0
Q17U16	Q17U16
O28625	O28625
Q86U44	Q86U44
Q7NX84	Q7NX84
P22069	P22069
P0A1P6	P0A1P6
P04271	P04271
O95363	O95363
A0A0R4I973	A0A0R4I973
P9WIL4	P9WIL4
P03300	P03300
P07900	P07900
P12425	P12425
P17050	P17050
Q18014	Q18014
P00811	P00811
Q08881	Q08881
P81947	P81947
Q6NYC1	Q6NYC1
P34897	P34897
P62508	P62508
P52699	P52699
P00523	P00523
Q9VRQ9	Q9VRQ9
Q99YP9	Q99YP9
Q07817	Q07817
P09382	P09382
P00491	P00491
P31151	P31151
P23467	P23467
P61949	P61949
A9PKC6	A9PKC6
P26664	P26664
Q9BE39	Q9BE39
Q58L87	Q58L87
P13100	P13100
C1CIR8	C1CIR8
J3KPF3	P08195
P49354	P49354
Q87GI4	Q87GI4
P53041	P53041
Q01064	Q01064
Q6VAB6	Q6VAB6
P10844	P10844
P0AEY0	P0AEY0
Q7VL18	Q7VL18
P69327	P69327
P11838	P11838
P05164	P05164
P18031	P18031
Q14416	Q14416
P72583	P72583
Q9NG96	Q9NG96
A4ZF98	A4ZF98
Q64663	Q64663
Q12931	Q12931
P11086	P11086
P76010	P76010
Q81R22	Q81R22
P17252	P17252
O54438	O54438
B1IS70	B1IS70
Q8P8F1	Q8P8F1
Q9HUK6	Q9HUK6
P39075	P39075
Q05823	Q05823
Q99QC1	Q99QC1
Q13564	Q13564
Q51504	Q51504
Q8GU20	Q8GU20
W1EPV7	W1EPV7
P80226	P80226
O12158	O12158
P08709	P08709
P16442	P16442
Q9HZE7	Q9HZE7
P0A953	P0A953
O14976	O14976
O67854	O67854
P22411	P22411
C0KD15	A0A1L8F5J9
P00451	P00451
P65249	P65249
Q54S83	Q54S83
P09960	P09960
O28025	O28025
P35968	P35968
O00481	O00481
Q5SH52	Q5SH52
P61073	P61073
P22894	P22894
A1ILL9	A1ILL9
A2YPH1	A2YPH1
A8IYS5	A8IYS5
Q9UKK9	Q9UKK9
P48449	P48449
Q9BVS4	Q9BVS4
Q8KNP3	Q8KNP3
P08519	P08519
Q5FWF9	Q5FWF9
P52732	P52732
Q9U8X2	Q9U8X2
P0A715	P0A715
O75643	O75643
O14744	O14744
P68135	P68135
Q15125	Q15125
P15587	P15587
Q03181	Q03181
O15804	O15804
P06239	P06239
P29736	P29736
O32393	O32393
O74036	O74036
P0A720	P0A720
Q13526	Q13526
Q6XEC0	Q6XEC0
P03362	P03362
Q67296	Q67296
A0A0X1KGP2	A0A0X1KGP2
Q9XAM6	Q9XAM6
G5ELM1	G5ELM1
P55072	P55072
Q92918	Q92918
I6YFP0	I6YFP0
Q5SLI8	Q5SLI8
Q9NRK6	Q9NRK6
P32755	P32755
Q99J99	Q99J99
P00918	P00918
Q07075	Q07075
P03354	P03354
Q9ALJ4	Q9ALJ4
P00651	P00651
Q26997	Q26997
Q62986	Q62986
P01008	P01008
O75385	O75385
Q5JID0	Q5JID0
Q99814	Q99814
Q8ZQ06	Q8ZQ06
O92972	O92972
O75530	O75530
Q9CES5	Q9CES5
A1Z093	A1Z093
A5U9I4	A5U9I4
B8ZYW1	B8ZYW1
P10275	P10275
P29477	P29477
Q61846	Q61846
P9WNX1	P9WNX1
B6YU74	B6YU74
P01556	P01556
Q9BUB5	Q9BUB5
P00800	P00800
P15042	P15042
A0A0H2UPS5	A0A0H2UPS5
Q57265	Q57265
O00408	O00408
G0S381	G0S381
Q51948	Q51948
P07339	P07339
Q8A3I4	Q8A3I4
Q8A6X1	Q8A6X1
P24666	P24666
Q7M4F9	Q7M4F9
O97447	O97447
O06543	O06543
G3V5E1	G3V5E1
Q58517	Q58517
P21730	P21730
Q15046	Q15046
P24173	P24173
P76291	P76291
P49336	P49336
H7C794	H7C794
P9WI83	P9WI83
P0AEG4	P0AEG4
P43250	P43250
B5ZAD9	B5ZAD9
Q9NTG7	Q9NTG7
P34972	P34972
P0A825	P0A825
P23458	P23458
G1U9S2	G1U9S2
O62301	O62301
P10968	P10968
O92103	O92103
P53582	P53582
O06916	O06916
B8FW11	B8FW11
Q9GZZ9	Q9GZZ9
P05414	P05414
P13053	P13053
Q15274	Q15274
P14604	P14604
Q95WL3	Q95WL3
P19784	P19784
P13995	P13995
Q8T6S0	Q8T6S0
Q58497	Q58497
P55859	P55859
Q9CCZ4	Q9CCZ4
Q13546	Q13546
Q9Z9H6	Q9Z9H6
Q9NWT6	Q9NWT6
Q13976	Q13976
O15151	O15151
P50579	P50579
I6ZUH3	I6ZUH3
E0TW95	E0TW95
P27707	P27707
Q9QZL0	Q9QZL0
P9WMB9	P9WMB9
Q90K99	Q90K99
P11926	P11926
P68400	P68400
P15813	P15813
P42208	P42208
B5LY47	B5LY47
P09945	P09945
Q9V2Z6	Q9V2Z6
Q99523	Q99523
P9WQB3	P9WQB3
P08172	P08172
P26446	P26446
P60473	P60473
P04936	P04936
Q9UN19	Q9UN19
B1MDL6	B1MDL6
Q12051	Q12051
P41148	P41148
P0DTH5	P0DTH5
P9WHE9	P9WHE9
O43683	O43683
Q8RPJ2	Q8RPJ2
P00750	P00750
P76015	P76015
Q3S340	Q3S340
O77421	O77421
Q7AKQ8	Q7AKQ8
Q3TBT3	Q3TBT3
O88339	O88339
Q9QP61	Q9QP61
P00338	P00338
U3KMH2	U3KMH2
Q9NZJ5	Q9NZJ5
P0C6V2	P0C6V2
Q7ZWC3	Q7ZWC3
P00634	P00634
Q7DDU0	Q7DDU0
Q9I6J0	Q9I6J0
P0C6Y8	P0C6Y8
P07148	P07148
Q9FCE4	Q9FCE4
Q7BJM5	Q7BJM5
Q873X9	Q873X9
A9JQL9	A9JQL9
P0A6L4	P0A6L4
C6H0Y9	C6H0Y9
G3G192	G3G192
Q9TQS6	Q9TQS6
Q0P844	Q0P844
Q9ZAG3	Q9ZAG3
P02942	P02942
Q9Y5Z0	Q9Y5Z0
A0A0J9X1X5	A0A0J9X1X5
Q16512	Q16512
P43681	P43681
P09467	P09467
P9WFY7	P9WFY7
Q7SPG9	Q7SPG9
P9WMC1	P9WMC1
P9WFX2	P9WFX2
P26885	P26885
Q84AR1	Q84AR1
Q9WUL6	Q9WUL6
P08235	P08235
O27402	O27402
P31800	P31800
Q5EP34	Q5EP34
P23470	P23470
P28720	P28720
Q8N6T7	Q8N6T7
P21447	P21447
P0DPC1	P0DPC1
P56273	P56273
A0A067Y7N7	A0A067Y7N7
P12530	P12530
P08263	P08263
P52731	P52731
P18206	P18206
P19438	P19438
P49773	P49773
P21514	P21514
O57947	O57947
Q9RA63	Q9RA63
Q04631	Q04631
P0C559	P0C559
Q9RQJ2	Q9RQJ2
O96017	O96017
Q2FXC2	Q2FXC2
Q5HEB7	Q5HEB7
Q8I384	Q8I384
Q4CQE2	Q4CQE2
Q9BZ95	Q9BZ95
Q05115	Q05115
O00443	O00443
P16404	P16404
Q0S6D0	Q0S6D0
O85672	O85672
Q9NXS2	Q9NXS2
Q8KLP4	Q8KLP4
P43220	P43220
Q9UEV6	Q92731
P07949	P07949
P20231	P20231
P00749	P00749
P25774	P25774
O80852	O80852
P31335	P31335
Q53793	Q53793
P31677	P31677
P15207	P15207
Q07343	Q07343
P07686	P07686
Q9HY69	Q9HY69
E7FH78	E7FH78
Q8A5P6	Q8A5P6
Q90JJ9	Q90JJ9
Q8W453	Q8W453
Q55467	Q55467
B0B0V1	B0B0V1
P08200	P08200
G3FT00	G3FT00
P35775	P35775
Q9Z2X8	Q9Z2X8
P93832	P93832
Q9GZT9	Q9GZT9
P0AE01	P0AE01
Q5SID9	Q5SID9
O77404	O77404
D3GV56	D3GV56
Q2I2N4	Q2I2N4
Q9Y468	Q9Y468
A0QYW6	A0QYW6
P13956	P13956
Q4KMI8	Q4KMI8
Q9UG22	Q9UG22
Q9I9P7	Q9I9P7
P36328	P36328
Q96IY4	Q96IY4
Q8I4V8	Q8I4V8
P42787	P42787
P15445	P15445
P04746	P04746
J9VNH4	J9VNH4
Q96RI1	Q96RI1
P42527	P42527
P28907	P28907
V5YAB1	V5YAB1
O15570	O15570
Q9W9R3	Q9W9R3
Q2K340	Q2K340
P63086	P63086
Q8WXF7	Q8WXF7
Q7PXT9	Q7PXT9
O00329	O00329
Q6JP77	Q6JP77
Q5SL84	Q5SL84
Q9NRG4	Q9NRG4
P28335	P28335
D0VX20	D0VX20
P22629	P22629
P10538	P10538
P10827	P10827
P16753	P16753
Q9H3H5	Q9H3H5
Q99AU2	Q99AU2
P96257	P96257
Q8IJH3	Q8IJH3
P15319	P15319
Q46822	Q46822
P04816	P04816
A8C927	A8C927
Q25252	Q25252
Q3J125	Q3J125
P07741	P07741
Q9Y3Q0	Q9Y3Q0
Q09JX9	Q09JX9
P54818	P54818
P32178	P32178
P06493	P06493
Q92769	Q92769
Q04ML5	Q04ML5
P43166	P43166
Q3IWB0	Q3IWB0
D0PY27	D0PY27
Q9UR08	Q9UR08
C9ZP98	C9ZP98
P21453	P21453
P0A9E0	P0A9E0
Q8IXJ6	Q8IXJ6
P21146	P21146
P45984	P45984
Q6P6C2	Q6P6C2
Q9ZMY2	Q9ZMY2
O25776	O25776
P07550	P07550
P09211	P09211
A7UNK4	A7UNK4
P03460	P03460
P78417	P78417
Q8NNK8	Q8NNK8
P9WFY1	P9WFY1
P01724	P01724
Q9WYV0	Q9WYV0
Q9AJF5	Q9AJF5
Q07889	Q07889
P22515	P22515
O53638	O53638
D6E1Y1	D6E1Y1
P52704	P52704
Q9I4X0	Q9I4X0
Q9X1X0	Q9X1X0
Q72EF3	Q72EF3
Q9LAK3	Q9LAK3
Q9UBF8	Q9UBF8
Q8A712	Q8A712
P37268	P37268
P49642	P49642
P37571	P37571
O14684	O14684
Q13188	Q13188
Q9UBN7	Q9UBN7
Q2YSF8	Q2YSF8
Q26490	Q26490
P17948	P17948
P62166	P62166
P16293	P16293
Q9NZN9	Q9NZN9
P15555	P15555
Q5JD38	Q5JD38
Q86PT9	Q86PT9
Q9SSM7	Q9SSM7
P33316	P33316
Q7SIB7	Q7SIB7
Q09JR9	Q09JR9
Q63226	Q63226
A0QNE0	A0QNE0
Q9JYV4	Q9JYV4
Q9QZH4	Q9QZH4
P24630	P24630
P01116	P01116
P05413	P05413
A0A0H3JWU6	A0A0H3JWU6
Q8WTS6	Q8WTS6
P51512	P51512
A0A0H2UP35	A0A0H2UP35
G8G134	G8G134
Q9A1B7	Q9A1B7
P08059	P08059
Q936X6	Q936X6
P22736	P22736
Q7N561	Q7N561
P41595	P41595
Q9UQR0	Q9UQR0
Q72MQ6	Q72MQ6
Q9GK12	Q9GK12
Q8RCC4	Q8RCC4
P14489	P14489
P0AG16	P0AG16
P29768	P29768
Q43965	Q43965
O34738	O34738
P10276	P10276
O53580	O53580
P29317	P29317
O15164	O15164
P19156	P19156
P03472	P03472
P05364	P05364
Q13133	Q13133
P24182	P24182
P00875	P00875
Q8RPA0	Q8RPA0
Q3J1R2	Q3J1R2
Q38CA1	Q38CA1
P00669	P00669
P08799	P08799
Q13541	Q13541
A5H660	A5H660
P00352	P00352
Q9KID9	Q9KID9
Q00534	Q00534
Q9Y4E8	Q9Y4E8
F1QCV2	F1QCV2
Q9Y823	Q9Y823
O14757	O14757
A0A5P8YCA3	A0A5P8YCA3
O15826	O15826
Q4H132	Q4H132
Q8IWA4	Q8IWA4
P08492	P08492
Q7X9A9	Q7X9A9
P81371	P81371
H2QL32	H2QL32
P22303	P22303
Q9RHV9	Q9RHV9
Q9APF7	Q9APF7
P0C6X5	P0C6X5
P05100	P05100
Q14832	Q14832
Q9KHT9	Q9KHT9
A0QWG6	A0QWG6
P0A078	P0A078
P00636	P00636
P0C7B7	P0C7B7
P61964	P61964
Q6B0I6	Q6B0I6
Q9PPB4	Q9PPB4
Q7NDN8	Q7NDN8
P11064	P11064
P9WNP1	P9WNP1
D0C9L6	D0C9L6
Q96L34	Q96L34
P00968	P00968
Q9HBH1	Q9HBH1
P04015	P04015
P04574	P04574
Q8MNY2	Q8MNY2
P08659	P08659
Q02293	Q02293
K7N5M3	K7N5M3
Q5KVB6	Q5KVB6
P9WQ81	P9WQ81
Q96C86	Q96C86
P34914	P34914
Q99558	Q99558
Q9I7A8	Q9I7A8
Q9AJS0	Q9AJS0
P00524	P00524
P10987	P10987
O15496	O15496
P54646	P54646
Q84406	Q84406
Q2FWC7	Q2FWC7
Q6P179	Q6P179
Q6ST21	Q6ST21
Q75I93	Q75I93
Q83883	Q83883
A0A0F7UUA6	A0A0F7UUA6
P9WJJ3	P9WJJ3
O95551	O95551
O75844	O75844
P96711	P96711
P00489	P00489
P00808	P00808
O93077	O93077
P68175	P68175
P06935	P06935
P49419	P49419
Q9BT30	Q9BT30
P36873	P36873
B6CAM1	B6CAM1
Q56F26	Q56F26
P54753	P54753
Q9WYE2	Q9WYE2
P15474	P15474
Q9H7Z6	Q9H7Z6
P0AE18	P0AE18
A8BB85	A8BB85
Q79791	Q79791
P55212	P55212
Q9XZT6	Q9XZT6
P77526	P77526
P01139	P01139
Q9Y223	Q9Y223
P21554	P21554
Q9S5X0	Q9S5X0
Q819U0	Q819U0
P52045	P52045
P15090	P15090
P0A7E5	P0A7E5
Q9UZ14	Q9UZ14
P56109	P56109
P43619	P43619
P23443	P23443
Q8LPW4	Q8LPW4
P0AAI5	P0AAI5
P31133	P31133
Q93X60	Q93X60
P10153	P10153
A0A2U2H355	A0A2U2H355
Q58F21	Q58F21
P0A9J4	P0A9J4
P9WK19	P9WK19
P32542	P32542
P17559	P17559
Q5F4T5	Q5F4T5
P56690	P56690
Q26710	Q26710
C8CIL7	C8CIL7
P02754	P02754
A0A0M3KL06	A0A0M3KL06
P49760	P49760
P48736	P48736
P05480	P05480
Q7W019	Q7W019
